"filename", "language", "Python", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\models.py", "Python", 1, 0, 0, 0, 0, 3, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\base.html", "HTML", 0, 273, 0, 0, 23, 44, 340
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\construction.html", "HTML", 0, 675, 0, 0, 0, 5, 680
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\home.html", "HTML", 0, 16, 0, 0, 0, 3, 19
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\paginator.html", "HTML", 0, 42, 0, 0, 3, 5, 50
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\partials\search_results.html", "HTML", 0, 69, 0, 0, 0, 6, 75
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\templates\print_table.html", "HTML", 0, 38, 0, 0, 0, 4, 42
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\urls.py", "Python", 8, 0, 0, 0, 0, 2, 10
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\core\views.py", "Python", 55, 0, 0, 0, 2, 21, 78
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\admin.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0001_initial.py", "Python", 34, 0, 0, 0, 1, 7, 42
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0002_delete_valor.py", "Python", 10, 0, 0, 0, 1, 6, 17
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\0003_alter_equipos_referencia_fk.py", "Python", 14, 0, 0, 0, 1, 6, 21
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\models.py", "Python", 9, 0, 0, 0, 0, 4, 13
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\equipment_edit.html", "HTML", 0, 236, 0, 0, 0, 42, 278
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\equipments.html", "HTML", 0, 112, 0, 0, 0, 7, 119
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipment_parts_table_body.html", "HTML", 0, 31, 0, 0, 0, 0, 31
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipment_parts_table_footer.html", "HTML", 0, 2, 0, 0, 0, 1, 3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipments_table_body.html", "HTML", 0, 38, 0, 0, 0, 3, 41
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_equipments_table_footer.html", "HTML", 0, 2, 0, 0, 0, 1, 3
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_interventions_table_body.html", "HTML", 0, 21, 0, 0, 0, 0, 21
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\templates\partials\_interventions_table_footer.html", "HTML", 0, 42, 0, 0, 3, 3, 48
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\urls.py", "Python", 8, 0, 0, 0, 0, 2, 10
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\equipments\views.py", "Python", 124, 0, 0, 0, 1, 33, 158
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\admin.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\apps.py", "Python", 4, 0, 0, 0, 0, 3, 7
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\models.py", "Python", 1, 0, 0, 0, 1, 2, 4
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\templates\400.html", "HTML", 0, 6, 0, 0, 0, 2, 8
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\templates\403.html", "HTML", 0, 14, 0, 0, 0, 2, 16
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\templates\404.html", "HTML", 0, 14, 0, 0, 0, 2, 16
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\templates\500.html", "HTML", 0, 14, 0, 0, 0, 2, 16
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\templates\base_error.html", "HTML", 0, 67, 0, 0, 0, 7, 74
"c:\Users\EQUIPO\Desktop\ALCOM TRABAJOS\ALCOM-2\APPLICATION\apps\errors\tests.py", "Python", 1, 0, 0, 0, 1, 2, 4
